"ReleaseId","Path","Class","Buggy","CodeSmells","NSmells","Touches","TotalTouches","IssueTouches","TotalIssueTouches","Authors","TotalAuthors","AddedLines","DeletedLines","Churn","TotalChurn","prevBuggy","AgeInReleases"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.IntSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.ArraySchema","yes","4","5","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileStream.java/","org.apache.avro.file.DataFileStream.DataBlock","yes","0","0","0","7","0","7","0","2","0","0","0","210","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/","org.apache.avro.specific.SpecificCompiler.SpecificCompilerTool","yes","2","3","0","4","0","4","0","2","0","0","0","33","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileStream.java/","org.apache.avro.file.DataFileStream","yes","6","8","0","7","0","7","0","2","0","0","0","210","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/generic/GenericRequestor.java/","org.apache.avro.generic.GenericRequestor","yes","0","1","0","2","0","2","0","1","0","0","0","14","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java/","org.apache.avro.io.parsing.ResolvingGrammarGenerator","yes","9","13","0","10","0","10","0","2","0","0","0","202","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Names","yes","0","1","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Name","yes","4","6","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.FloatSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
