Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,SmellDensity,Touches,TotalTouches,IssueTouches,TotalIssueTouches,Authors,TotalAuthors,AddedLines,DeletedLines,Churn,TotalChurn,prevCodeSmells,AgeInReleases,prevBuggy,Buggy
avro,/lang/java/src/java/org/apache/avro/ipc/stats/StatsPlugin.java/,"org.apache.avro.ipc.stats.StatsPlugin",release-1.3.2,82,29,9,2,3,40,6,61,43.0,67.0,363.55973856504056,2.2874999999999996,831.6429019675302,1,0,0,1,0,0,1,0.0122,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/SocketServer.java/,"org.apache.avro.ipc.SocketServer.Connection",release-1.3.2,28,20,3,1,1,19,1,23,20.0,24.0,103.72627427729671,0.6052631578947368,62.781692325732216,1,0,0,1,0,1,2,0.0714,2,2,2,2,1,1,2,1,3,3,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/reflect/ReflectData.java/,"org.apache.avro.reflect.ReflectData.AllowNull",release-1.3.2,12,5,2,0,0,6,0,6,6.0,6.0,15.509775004326936,0.0,0.0,0,0,0,0,0,1,1,0.0833,5,5,5,5,2,2,40,27,67,67,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/specific/SpecificFixed.java/,"org.apache.avro.specific.SpecificFixed",release-1.3.2,5,2,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.IntSchema",release-1.3.2,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/generic/IndexedRecord.java/,"org.apache.avro.generic.IndexedRecord",release-1.3.2,6,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,26,0,26,26,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/tool/GenAvroTool.java/,"org.apache.avro.tool.GenAvroTool",release-1.3.2,45,27,6,3,8,31,14,75,39.0,89.0,470.4007974787401,9.67741935483871,4552.265782052324,1,0,0,1,0,3,4,0.0889,2,2,2,2,1,1,1,1,2,2,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol.UnionAdjustAction",release-1.3.2,15,5,2,0,1,5,2,7,6.0,9.0,23.264662506490403,0.7,16.28526375454328,0,0,0,1,0,0,1,0.0667,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.ArraySchema",release-1.3.2,25,21,7,2,5,21,6,37,26.0,43.0,202.11890788006698,4.404761904761905,890.2856656621999,1,0,0,1,0,4,5,0.2000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/tool/RpcSendTool.java/,"org.apache.avro.tool.RpcSendTool",release-1.3.2,78,49,9,4,3,63,7,121,66.0,128.0,773.682447277882,2.880952380952381,2228.942288586279,2,0,0,1,1,1,3,0.0385,2,2,2,2,1,1,38,13,51,51,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/DirectBinaryDecoder.java/,"org.apache.avro.io.DirectBinaryDecoder.ByteReader",release-1.3.2,14,11,2,1,4,12,5,23,16.0,28.0,112.0,3.8333333333333335,429.33333333333337,1,0,0,1,1,0,2,0.1429,1,1,1,1,1,1,203,0,203,203,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/SocketServer.java/,"org.apache.avro.ipc.SocketServer",release-1.3.2,79,31,6,1,2,34,6,49,36.0,55.0,284.3458750793272,1.4411764705882353,409.792584673148,1,0,0,1,0,5,6,0.0759,2,2,2,2,1,1,2,1,3,3,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/file/DataFileStream.java/,"org.apache.avro.file.DataFileStream.DataBlock",release-1.3.2,10,4,1,0,1,2,3,3,3.0,6.0,9.509775004326938,0.75,7.132331253245203,0,0,0,0,0,0,0,0.0000,7,7,7,7,2,2,151,59,210,210,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/,"org.apache.avro.specific.SpecificCompiler.SpecificCompilerTool",release-1.3.2,32,22,6,3,1,21,1,35,22.0,36.0,160.5395382709427,0.8333333333333334,133.78294855911892,2,0,0,1,0,2,3,0.0938,4,4,4,4,2,2,16,17,33,33,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/specific/ProtocolTask.java/,"org.apache.avro.specific.ProtocolTask",release-1.3.2,48,31,10,4,6,28,10,50,34.0,60.0,305.2477704750204,5.357142857142858,1635.255913259038,2,0,0,1,0,4,5,0.1042,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/SocketTransceiver.java/,"org.apache.avro.ipc.SocketTransceiver",release-1.3.2,66,43,12,5,3,36,4,75,39.0,79.0,417.54677529011764,3.125,1304.8336727816177,2,0,0,1,0,2,3,0.0455,2,2,2,2,1,1,2,1,3,3,0,1,no,no
