Dataset,Classifier,Run,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC,NPofB20
avro_dataset.csv,RANDOM_FOREST,9,6,98.7578,0.9375,0.6818,0.7895,0.7832,0.9173,0.8636
avro_dataset.csv,RANDOM_FOREST,9,8,98.7558,1.0000,0.6190,0.7647,0.7587,0.9451,0.9048
avro_dataset.csv,RANDOM_FOREST,9,7,99.8447,1.0000,0.9545,0.9767,0.9759,0.9710,0.9545
avro_dataset.csv,RANDOM_FOREST,9,9,99.8445,1.0000,0.9524,0.9756,0.9748,0.9905,1.0000
avro_dataset.csv,NAIVE_BAYES,1,0,98.7578,1.0000,0.6190,0.7647,0.7587,0.9715,0.9524
avro_dataset.csv,NAIVE_BAYES,0,5,98.9130,1.0000,0.6667,0.8000,0.7946,0.8531,0.8095
avro_dataset.csv,NAIVE_BAYES,0,4,99.3789,1.0000,0.8095,0.8947,0.8916,1.0000,1.0000
avro_dataset.csv,NAIVE_BAYES,0,1,98.2919,0.9167,0.5238,0.6667,0.6586,0.9397,0.7619
avro_dataset.csv,NAIVE_BAYES,0,9,98.9114,1.0000,0.6667,0.8000,0.7946,0.9866,0.9524
avro_dataset.csv,NAIVE_BAYES,0,6,99.0683,1.0000,0.7273,0.8421,0.8374,0.9637,0.9545
avro_dataset.csv,NAIVE_BAYES,1,1,98.9130,1.0000,0.6667,0.8000,0.7946,0.9500,0.9524
avro_dataset.csv,NAIVE_BAYES,0,7,98.7578,1.0000,0.6364,0.7778,0.7717,0.9878,0.9545
avro_dataset.csv,NAIVE_BAYES,0,0,98.9130,1.0000,0.6667,0.8000,0.7946,0.8493,0.8095
avro_dataset.csv,NAIVE_BAYES,0,8,98.9114,1.0000,0.6667,0.8000,0.7946,0.9326,0.9048
avro_dataset.csv,NAIVE_BAYES,0,3,99.5342,1.0000,0.8571,0.9231,0.9207,0.9792,0.9524
avro_dataset.csv,NAIVE_BAYES,0,2,99.5342,1.0000,0.8571,0.9231,0.9207,0.9873,0.9524
avro_dataset.csv,NAIVE_BAYES,1,4,99.3789,1.0000,0.8095,0.8947,0.8916,0.9408,0.9048
avro_dataset.csv,NAIVE_BAYES,1,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9565,0.9048
avro_dataset.csv,NAIVE_BAYES,1,3,98.9130,1.0000,0.6667,0.8000,0.7946,0.9530,0.8571
avro_dataset.csv,NAIVE_BAYES,1,2,99.0683,0.8947,0.8095,0.8500,0.8452,0.9523,0.9048
avro_dataset.csv,NAIVE_BAYES,1,6,98.7578,1.0000,0.6364,0.7778,0.7717,0.9201,0.8636
avro_dataset.csv,NAIVE_BAYES,1,8,98.6003,1.0000,0.5714,0.7273,0.7206,0.8897,0.7619
avro_dataset.csv,NAIVE_BAYES,2,1,98.9130,1.0000,0.6667,0.8000,0.7946,0.9139,0.9048
avro_dataset.csv,NAIVE_BAYES,1,9,99.2224,1.0000,0.7619,0.8649,0.8609,0.9607,0.9048
avro_dataset.csv,NAIVE_BAYES,2,0,98.7578,1.0000,0.6190,0.7647,0.7587,0.9673,0.9048
avro_dataset.csv,NAIVE_BAYES,2,2,99.0683,1.0000,0.7143,0.8333,0.8287,0.9599,0.9524
avro_dataset.csv,NAIVE_BAYES,1,7,98.6025,1.0000,0.5909,0.7429,0.7362,0.9989,1.0000
avro_dataset.csv,NAIVE_BAYES,2,3,98.4472,1.0000,0.5238,0.6875,0.6803,0.9418,0.8095
avro_dataset.csv,NAIVE_BAYES,2,4,99.3789,1.0000,0.8095,0.8947,0.8916,1.0000,1.0000
